campus,bldgno,bldgname,Year,Month,Day,Hour,cold,wash_cold
Tempe,57MF,Phys Sci Res Lab,2019,1,9,14,0.0,0.0
Tempe,57MF,Phys Sci Res Lab,2019,1,9,15,0.0,0.0
Tempe,57MF,Phys Sci Res Lab,2019,1,9,16,0.0,0.0
Tempe,57MF,Phys Sci Res Lab,2019,1,9,17,0.0,0.0
Tempe,57MF,Phys Sci Res Lab,2019,1,9,18,0.0,0.0
Tempe,57MF,Phys Sci Res Lab,2019,1,9,19,0.0,0.0
Tempe,57MF,Phys Sci Res Lab,2019,1,9,20,0.0,0.0
Tempe,57MF,Phys Sci Res Lab,2019,1,9,21,0.0,0.0
Tempe,57MF,Phys Sci Res Lab,2019,1,9,22,0.0,0.0
Tempe,57MF,Phys Sci Res Lab,2019,1,9,23,0.0,0.0
Tempe,57MF,Phys Sci Res Lab,2019,1,10,0,0.0,0.0
Tempe,57MF,Phys Sci Res Lab,2019,1,10,1,0.0,0.0
Tempe,57MF,Phys Sci Res Lab,2019,1,10,2,0.0,0.0
Tempe,57MF,Phys Sci Res Lab,2019,1,10,3,0.0,0.0
Tempe,57MF,Phys Sci Res Lab,2019,1,10,4,0.0,0.0
Tempe,57MF,Phys Sci Res Lab,2019,1,10,5,0.0,0.0
Tempe,57MF,Phys Sci Res Lab,2019,1,10,6,0.0,0.0
Tempe,57MF,Phys Sci Res Lab,2019,1,10,7,0.0,0.0
Tempe,57MF,Phys Sci Res Lab,2019,1,10,8,0.0,0.0
Tempe,57MF,Phys Sci Res Lab,2019,1,10,9,0.0,0.0
Tempe,57MF,Phys Sci Res Lab,2019,1,10,10,0.0,0.0
Tempe,57MF,Phys Sci Res Lab,2019,1,10,11,0.0,0.0
Tempe,57MF,Phys Sci Res Lab,2019,1,10,12,0.0,0.0
Tempe,57MF,Phys Sci Res Lab,2019,1,10,13,0.0,0.0
Tempe,57MF,Phys Sci Res Lab,2019,1,10,14,0.0,0.0
Tempe,57MF,Phys Sci Res Lab,2019,1,10,15,0.0,0.0
Tempe,57MF,Phys Sci Res Lab,2019,1,10,16,0.0,0.0
Tempe,57MF,Phys Sci Res Lab,2019,1,10,17,0.0,0.0
Tempe,57MF,Phys Sci Res Lab,2019,1,10,18,0.0,0.0
Tempe,57MF,Phys Sci Res Lab,2019,1,10,19,0.0,0.0
Tempe,57MF,Phys Sci Res Lab,2019,1,10,20,0.0,0.0
Tempe,57MF,Phys Sci Res Lab,2019,1,10,21,0.0,0.0
Tempe,57MF,Phys Sci Res Lab,2019,1,10,22,0.0,0.0
Tempe,57MF,Phys Sci Res Lab,2019,1,10,23,0.0,0.0
Tempe,57MF,Phys Sci Res Lab,2019,1,11,0,0.0,0.0
Tempe,57MF,Phys Sci Res Lab,2019,1,11,1,0.0,0.0
Tempe,57MF,Phys Sci Res Lab,2019,1,11,2,0.0,0.0
Tempe,57MF,Phys Sci Res Lab,2019,1,11,3,0.0,0.0
Tempe,57MF,Phys Sci Res Lab,2019,1,11,4,0.0,0.0
Tempe,57MF,Phys Sci Res Lab,2019,1,11,5,0.0,0.0
Tempe,57MF,Phys Sci Res Lab,2019,1,11,6,0.0,0.0
Tempe,57MF,Phys Sci Res Lab,2019,1,11,7,0.0,0.0
Tempe,57MF,Phys Sci Res Lab,2019,1,11,8,0.0,0.0
Tempe,57MF,Phys Sci Res Lab,2019,1,11,9,0.0,0.0
Tempe,57MF,Phys Sci Res Lab,2019,1,11,10,0.0,0.0
Tempe,57MF,Phys Sci Res Lab,2019,1,11,11,0.0,0.0
Tempe,57MF,Phys Sci Res Lab,2019,1,11,12,0.0,0.0
Tempe,57MF,Phys Sci Res Lab,2019,1,11,13,0.0,0.0
Tempe,57MF,Phys Sci Res Lab,2019,1,11,14,0.0,0.0
Tempe,57MF,Phys Sci Res Lab,2019,1,11,15,0.0,0.0
Tempe,57MF,Phys Sci Res Lab,2019,1,11,16,0.0,0.0
Tempe,57MF,Phys Sci Res Lab,2019,1,11,17,0.0,0.0
Tempe,57MF,Phys Sci Res Lab,2019,1,11,18,0.0,0.0
Tempe,57MF,Phys Sci Res Lab,2019,1,11,19,0.0,0.0
Tempe,57MF,Phys Sci Res Lab,2019,1,11,20,0.0,0.0
Tempe,57MF,Phys Sci Res Lab,2019,1,11,21,0.0,0.0
Tempe,57MF,Phys Sci Res Lab,2019,1,11,22,0.0,0.0
Tempe,57MF,Phys Sci Res Lab,2019,1,11,23,0.0,0.0
Tempe,57MF,Phys Sci Res Lab,2019,1,12,0,0.0,0.0
Tempe,57MF,Phys Sci Res Lab,2019,1,12,1,0.0,0.0
Tempe,57MF,Phys Sci Res Lab,2019,1,12,2,0.0,0.0
Tempe,57MF,Phys Sci Res Lab,2019,1,12,3,0.0,0.0
Tempe,57MF,Phys Sci Res Lab,2019,1,12,4,0.0,0.0
Tempe,57MF,Phys Sci Res Lab,2019,1,12,5,0.0,0.0
Tempe,57MF,Phys Sci Res Lab,2019,1,12,6,0.0,0.0
Tempe,57MF,Phys Sci Res Lab,2019,1,12,7,0.0,0.0
Tempe,57MF,Phys Sci Res Lab,2019,1,12,8,0.0,0.0
Tempe,57MF,Phys Sci Res Lab,2019,1,12,9,0.0,0.0
Tempe,57MF,Phys Sci Res Lab,2019,1,12,10,0.0,0.0
Tempe,57MF,Phys Sci Res Lab,2019,1,12,11,0.0,0.0
Tempe,57MF,Phys Sci Res Lab,2019,1,12,12,0.0,0.0
Tempe,57MF,Phys Sci Res Lab,2019,1,12,13,0.0,0.0
Tempe,57MF,Phys Sci Res Lab,2019,1,12,14,0.0,0.0
Tempe,57MF,Phys Sci Res Lab,2019,1,12,15,0.0,0.0
Tempe,57MF,Phys Sci Res Lab,2019,1,12,16,0.0,0.0
Tempe,57MF,Phys Sci Res Lab,2019,1,12,17,0.0,0.0
Tempe,57MF,Phys Sci Res Lab,2019,1,12,18,0.0,0.0
Tempe,57MF,Phys Sci Res Lab,2019,1,12,19,0.0,0.0
Tempe,57MF,Phys Sci Res Lab,2019,1,12,20,0.0,0.0
Tempe,57MF,Phys Sci Res Lab,2019,1,12,21,0.0,0.0
Tempe,57MF,Phys Sci Res Lab,2019,1,12,22,0.0,0.0
Tempe,57MF,Phys Sci Res Lab,2019,1,12,23,0.0,0.0
Tempe,57MF,Phys Sci Res Lab,2019,1,13,0,0.0,0.0
Tempe,57MF,Phys Sci Res Lab,2019,1,13,1,0.0,0.0
Tempe,57MF,Phys Sci Res Lab,2019,1,13,2,0.0,0.0
Tempe,57MF,Phys Sci Res Lab,2019,1,13,3,0.0,0.0
Tempe,57MF,Phys Sci Res Lab,2019,1,13,4,0.0,0.0
Tempe,57MF,Phys Sci Res Lab,2019,1,13,5,0.0,0.0
Tempe,57MF,Phys Sci Res Lab,2019,1,13,6,0.0,0.0
Tempe,57MF,Phys Sci Res Lab,2019,1,13,7,0.0,0.0
Tempe,57MF,Phys Sci Res Lab,2019,1,13,8,0.0,0.0
Tempe,57MF,Phys Sci Res Lab,2019,1,13,9,0.0,0.0
Tempe,57MF,Phys Sci Res Lab,2019,1,13,10,0.0,0.0
Tempe,57MF,Phys Sci Res Lab,2019,1,13,11,0.0,0.0
Tempe,57MF,Phys Sci Res Lab,2019,1,13,12,0.0,0.0
Tempe,57MF,Phys Sci Res Lab,2019,1,13,13,0.0,0.0
Tempe,57MF,Phys Sci Res Lab,2019,1,13,14,0.0,0.0
Tempe,57MF,Phys Sci Res Lab,2019,1,13,15,0.0,0.0
Tempe,57MF,Phys Sci Res Lab,2019,1,13,16,0.0,0.0
Tempe,57MF,Phys Sci Res Lab,2019,1,13,17,0.0,0.0
Tempe,57MF,Phys Sci Res Lab,2019,1,13,18,0.0,0.0
Tempe,57MF,Phys Sci Res Lab,2019,1,13,19,0.0,0.0
Tempe,57MF,Phys Sci Res Lab,2019,1,13,20,0.0,0.0
Tempe,57MF,Phys Sci Res Lab,2019,1,13,21,0.0,0.0
Tempe,57MF,Phys Sci Res Lab,2019,1,13,22,0.0,0.0
Tempe,57MF,Phys Sci Res Lab,2019,1,13,23,0.0,0.0
Tempe,57MF,Phys Sci Res Lab,2019,1,14,0,0.0,0.0
Tempe,57MF,Phys Sci Res Lab,2019,1,14,1,0.0,0.0
Tempe,57MF,Phys Sci Res Lab,2019,1,14,2,0.0,0.0
Tempe,57MF,Phys Sci Res Lab,2019,1,14,3,0.0,0.0
Tempe,57MF,Phys Sci Res Lab,2019,1,14,4,0.0,0.0
Tempe,57MF,Phys Sci Res Lab,2019,1,14,5,0.0,0.0
Tempe,57MF,Phys Sci Res Lab,2019,1,14,6,0.0,0.0
Tempe,57MF,Phys Sci Res Lab,2019,1,14,7,0.0,0.0
Tempe,57MF,Phys Sci Res Lab,2019,1,14,8,0.0,0.0
Tempe,57MF,Phys Sci Res Lab,2019,1,14,9,0.0,0.0
Tempe,57MF,Phys Sci Res Lab,2019,1,14,10,0.0,0.0
Tempe,57MF,Phys Sci Res Lab,2019,1,14,11,0.0,0.0
Tempe,57MF,Phys Sci Res Lab,2019,1,14,12,0.0,0.0
Tempe,57MF,Phys Sci Res Lab,2019,1,14,13,0.0,0.0
Tempe,57MF,Phys Sci Res Lab,2019,1,14,14,0.0,0.0
Tempe,57MF,Phys Sci Res Lab,2019,1,14,15,0.0,0.0
Tempe,57MF,Phys Sci Res Lab,2019,1,14,16,0.0,0.0
Tempe,57MF,Phys Sci Res Lab,2019,1,14,17,0.0,0.0
Tempe,57MF,Phys Sci Res Lab,2019,1,14,18,0.0,0.0
Tempe,57MF,Phys Sci Res Lab,2019,1,14,19,0.0,0.0
Tempe,57MF,Phys Sci Res Lab,2019,1,14,20,0.0,0.0
Tempe,57MF,Phys Sci Res Lab,2019,1,14,21,0.0,0.0
Tempe,57MF,Phys Sci Res Lab,2019,1,14,22,0.0,0.0
Tempe,57MF,Phys Sci Res Lab,2019,1,14,23,0.0,0.0
Tempe,57MF,Phys Sci Res Lab,2019,1,15,0,0.0,0.0
Tempe,57MF,Phys Sci Res Lab,2019,1,15,1,0.0,0.0
Tempe,57MF,Phys Sci Res Lab,2019,1,15,2,0.0,0.0
Tempe,57MF,Phys Sci Res Lab,2019,1,15,3,0.0,0.0
Tempe,57MF,Phys Sci Res Lab,2019,1,15,4,0.0,0.0
Tempe,57MF,Phys Sci Res Lab,2019,1,15,5,0.0,0.0
Tempe,57MF,Phys Sci Res Lab,2019,1,15,6,0.0,0.0
Tempe,57MF,Phys Sci Res Lab,2019,1,15,7,0.0,0.0
Tempe,57MF,Phys Sci Res Lab,2019,1,15,8,0.0,0.0
Tempe,57MF,Phys Sci Res Lab,2019,1,15,9,0.0,0.0
Tempe,57MF,Phys Sci Res Lab,2019,1,15,10,0.0,0.0
Tempe,57MF,Phys Sci Res Lab,2019,1,15,11,0.0,0.0
Tempe,57MF,Phys Sci Res Lab,2019,1,15,12,0.0,0.0
