0,1,2,time,week
276.38,821.69,20.59,2019-09-06 21:00:00,5
260.28,736.58,20.59,2019-09-06 22:00:00,5
251.47,692.5,20.59,2019-09-06 23:00:00,5
254.82,664.93,26.47,2019-09-09 00:00:00,1
258.07,643.49,26.47,2019-09-09 01:00:00,1
254.37,633.56,26.47,2019-09-09 02:00:00,1
255.07,635.39,35.29,2019-09-09 03:00:00,1
245.65,639.82,32.35,2019-09-09 04:00:00,1
248.05,650.28,38.24,2019-09-09 05:00:00,1
260.6,687.01,38.24,2019-09-09 06:00:00,1
296.33,758.31,32.35,2019-09-09 07:00:00,1
342.73,796.2,26.47,2019-09-09 08:00:00,1
373.23,154.82,20.59,2019-09-09 09:00:00,1
392.4,83.52,20.59,2019-09-09 10:00:00,1
426.22,97.5,23.53,2019-09-09 11:00:00,1
402.15,94.75,26.47,2019-09-09 12:00:00,1
386.22,97.08,20.59,2019-09-09 13:00:00,1
381.65,99.82,11.76,2019-09-09 14:00:00,1
390.25,115.46,8.82,2019-09-09 15:00:00,1
374.93,110.04,5.88,2019-09-09 16:00:00,1
366.4,122.15,47.06,2019-09-09 17:00:00,1
345.52,404.33,20.59,2019-09-09 18:00:00,1
328.1,811.73,11.76,2019-09-09 19:00:00,1
308.43,746.37,41.18,2019-09-09 20:00:00,1
299.75,730.7,23.53,2019-09-09 21:00:00,1
275.8,715.85,26.47,2019-09-09 22:00:00,1
267.65,708.56,29.41,2019-09-09 23:00:00,1
263.9,711.8,29.41,2019-09-10 00:00:00,2
267.0,696.76,29.41,2019-09-10 01:00:00,2
268.37,697.71,32.35,2019-09-10 02:00:00,2
273.38,692.15,29.41,2019-09-10 03:00:00,2
254.08,689.37,29.41,2019-09-10 04:00:00,2
258.78,689.33,32.35,2019-09-10 05:00:00,2
267.37,706.13,32.35,2019-09-10 06:00:00,2
313.73,826.27,29.41,2019-09-10 07:00:00,2
352.23,657.85,17.65,2019-09-10 08:00:00,2
370.42,72.89,41.18,2019-09-10 09:00:00,2
395.23,94.54,23.53,2019-09-10 10:00:00,2
426.0,93.42,23.53,2019-09-10 11:00:00,2
418.58,95.18,26.47,2019-09-10 12:00:00,2
414.62,95.6,26.47,2019-09-10 13:00:00,2
411.4,99.26,23.53,2019-09-10 14:00:00,2
401.48,109.75,17.65,2019-09-10 15:00:00,2
372.83,116.2,17.65,2019-09-10 16:00:00,2
356.72,284.58,14.71,2019-09-10 17:00:00,2
350.05,859.47,20.59,2019-09-10 18:00:00,2
333.33,796.8,20.59,2019-09-10 19:00:00,2
313.42,799.75,23.53,2019-09-10 20:00:00,2
298.2,760.11,26.47,2019-09-10 21:00:00,2
271.72,714.01,26.47,2019-09-10 22:00:00,2
268.4,679.05,29.41,2019-09-10 23:00:00,2
258.83,624.72,29.41,2019-09-11 00:00:00,3
265.93,580.56,29.41,2019-09-11 01:00:00,3
262.3,553.66,32.35,2019-09-11 02:00:00,3
256.6,559.96,35.29,2019-09-11 03:00:00,3
244.88,549.82,35.29,2019-09-11 04:00:00,3
250.32,539.19,35.29,2019-09-11 05:00:00,3
258.52,568.06,35.29,2019-09-11 06:00:00,3
290.18,609.26,35.29,2019-09-11 07:00:00,3
331.25,670.32,26.47,2019-09-11 08:00:00,3
360.07,369.54,23.53,2019-09-11 09:00:00,3
390.02,76.41,17.65,2019-09-11 10:00:00,3
417.65,84.15,17.65,2019-09-11 11:00:00,3
400.6,82.61,17.65,2019-09-11 12:00:00,3
385.97,103.27,17.65,2019-09-11 13:00:00,3
390.72,94.15,17.65,2019-09-11 14:00:00,3
382.9,99.75,17.65,2019-09-11 15:00:00,3
369.92,118.7,20.59,2019-09-11 16:00:00,3
356.82,338.52,20.59,2019-09-11 17:00:00,3
336.97,819.79,20.59,2019-09-11 18:00:00,3
320.63,750.53,20.59,2019-09-11 19:00:00,3
299.48,693.31,23.53,2019-09-11 20:00:00,3
286.98,659.86,23.53,2019-09-11 21:00:00,3
262.57,595.74,26.47,2019-09-11 22:00:00,3
257.5,569.58,23.53,2019-09-11 23:00:00,3
258.05,565.99,26.47,2019-09-12 00:00:00,4
260.47,569.75,35.29,2019-09-12 01:00:00,4
257.37,542.92,35.29,2019-09-12 02:00:00,4
254.77,524.61,38.24,2019-09-12 03:00:00,4
242.58,544.61,41.18,2019-09-12 04:00:00,4
248.4,499.65,35.29,2019-09-12 05:00:00,4
256.6,530.77,35.29,2019-09-12 06:00:00,4
298.1,616.8,32.35,2019-09-12 07:00:00,4
338.97,665.04,29.41,2019-09-12 08:00:00,4
362.9,763.03,14.71,2019-09-12 09:00:00,4
394.95,155.49,38.24,2019-09-12 10:00:00,4
401.27,87.32,26.47,2019-09-12 11:00:00,4
399.23,85.25,29.41,2019-09-12 12:00:00,4
395.3,84.72,23.53,2019-09-12 13:00:00,4
393.6,92.18,23.53,2019-09-12 14:00:00,4
372.6,175.25,26.47,2019-09-12 15:00:00,4
352.45,804.05,20.59,2019-09-12 16:00:00,4
351.52,804.12,23.53,2019-09-12 17:00:00,4
343.63,779.96,20.59,2019-09-12 18:00:00,4
333.68,751.94,17.65,2019-09-12 19:00:00,4
313.35,708.91,41.18,2019-09-12 20:00:00,4
291.05,641.94,26.47,2019-09-12 21:00:00,4
270.63,590.04,29.41,2019-09-12 22:00:00,4
256.92,556.23,29.41,2019-09-12 23:00:00,4
254.67,450.53,32.35,2019-09-13 00:00:00,5
262.32,448.87,29.41,2019-09-13 01:00:00,5
256.9,468.73,29.41,2019-09-13 02:00:00,5
259.9,416.8,32.35,2019-09-13 03:00:00,5
246.33,416.97,29.41,2019-09-13 04:00:00,5
247.38,431.48,26.47,2019-09-13 05:00:00,5
254.9,433.84,20.59,2019-09-13 06:00:00,5
287.18,487.92,14.71,2019-09-13 07:00:00,5
330.37,544.12,29.41,2019-09-13 08:00:00,5
348.83,670.11,20.59,2019-09-13 09:00:00,5
367.43,753.59,23.53,2019-09-13 10:00:00,5
372.7,773.06,32.35,2019-09-13 11:00:00,5
369.52,776.55,23.53,2019-09-13 12:00:00,5
374.32,786.44,20.59,2019-09-13 13:00:00,5
366.07,829.54,38.24,2019-09-13 14:00:00,5
367.78,878.73,20.59,2019-09-13 15:00:00,5
350.57,877.82,20.59,2019-09-13 16:00:00,5
332.72,823.7,23.53,2019-09-13 17:00:00,5
312.17,757.15,23.53,2019-09-13 18:00:00,5
294.68,733.1,23.53,2019-09-13 19:00:00,5
283.13,703.13,20.59,2019-09-13 20:00:00,5
272.25,613.27,20.59,2019-09-13 21:00:00,5
260.07,585.53,20.59,2019-09-13 22:00:00,5
252.65,541.48,23.53,2019-09-13 23:00:00,5
261.4,596.97,26.47,2019-09-16 00:00:00,1
261.82,588.1,29.41,2019-09-16 01:00:00,1
253.12,585.99,26.47,2019-09-16 02:00:00,1
261.55,569.26,29.41,2019-09-16 03:00:00,1
249.2,563.17,20.59,2019-09-16 04:00:00,1
249.93,552.01,58.82,2019-09-16 05:00:00,1
261.63,596.48,38.24,2019-09-16 06:00:00,1
291.92,684.37,35.29,2019-09-16 07:00:00,1
349.6,818.94,26.47,2019-09-16 08:00:00,1
380.72,229.89,29.41,2019-09-16 09:00:00,1
409.88,95.21,11.76,2019-09-16 10:00:00,1
430.5,83.2,41.18,2019-09-16 11:00:00,1
415.72,95.07,32.35,2019-09-16 12:00:00,1
390.9,104.44,26.47,2019-09-16 13:00:00,1
390.18,113.7,23.53,2019-09-16 14:00:00,1
395.55,108.38,23.53,2019-09-16 15:00:00,1
375.5,118.06,17.65,2019-09-16 16:00:00,1
363.53,124.23,20.59,2019-09-16 17:00:00,1
339.43,831.94,20.59,2019-09-16 18:00:00,1
316.35,746.34,20.59,2019-09-16 19:00:00,1
297.55,685.53,23.53,2019-09-16 20:00:00,1
288.92,676.13,26.47,2019-09-16 21:00:00,1
268.02,592.61,29.41,2019-09-16 22:00:00,1
265.23,581.37,32.35,2019-09-16 23:00:00,1
259.63,565.7,41.18,2019-09-17 00:00:00,2
258.1,553.98,38.24,2019-09-17 01:00:00,2
258.43,548.98,41.18,2019-09-17 02:00:00,2
254.65,527.54,41.18,2019-09-17 03:00:00,2
246.45,550.0,44.12,2019-09-17 04:00:00,2
244.78,553.45,41.18,2019-09-17 05:00:00,2
257.48,568.2,41.18,2019-09-17 06:00:00,2
314.0,646.8,35.29,2019-09-17 07:00:00,2
348.27,688.52,29.41,2019-09-17 08:00:00,2
370.47,626.16,26.47,2019-09-17 09:00:00,2
385.42,112.11,26.47,2019-09-17 10:00:00,2
